baseline,days,n_points,mae,rmse,wape,bias,peak_error_mw,peak_timing_error_h,average_demand
weekly_naive_lag168,89,2134,2064.3464807872538,2723.1302393269166,0.08989529802576282,-547.872450796626,-563.1087640449438,-0.011235955056179775,22963.39298098844
weekly_avg_k4,89,2135,2363.5358337236535,3068.0793816621353,0.10292539782133749,-1662.831786885246,-1926.5583988764047,1.404494382022472,22962.73470648103
